cohort,site,sex,group,dead,lifespan_days,bw_6,bw_12,bw_18,bw_24
C2004,TJL,m,4-OH-PBN,1,896,,,,
C2004,TJL,m,4-OH-PBN,1,1077,,,,
C2004,TJL,m,4-OH-PBN,1,790,,,,
C2004,TJL,f,4-OH-PBN,1,823,,,,
C2004,TJL,f,4-OH-PBN,1,601,,,,
C2004,TJL,f,4-OH-PBN,1,842,,,,
C2004,TJL,f,4-OH-PBN,1,885,,,,
C2004,TJL,m,4-OH-PBN,1,912,,,,
C2004,TJL,m,4-OH-PBN,1,919,,,,
C2004,TJL,m,4-OH-PBN,1,967,,,,
C2004,TJL,m,4-OH-PBN,1,605,,,,
C2004,TJL,m,4-OH-PBN,1,870,,,,
C2004,TJL,m,4-OH-PBN,1,435,,,,
C2004,TJL,m,4-OH-PBN,0,653,,,,
C2004,TJL,m,4-OH-PBN,1,128,,,,
C2004,TJL,m,4-OH-PBN,0,653,,,,
C2004,TJL,m,4-OH-PBN,1,910,,,,
C2004,TJL,m,4-OH-PBN,1,1028,,,,
C2004,TJL,m,4-OH-PBN,1,939,,,,
C2004,TJL,f,4-OH-PBN,1,950,,,,
C2004,TJL,f,4-OH-PBN,1,686,,,,
C2004,TJL,f,4-OH-PBN,1,610,,,,
C2004,TJL,f,4-OH-PBN,1,1043,,,,
C2004,TJL,m,4-OH-PBN,1,496,,,,
C2004,TJL,m,4-OH-PBN,1,876,,,,
C2004,TJL,m,4-OH-PBN,1,961,,,,
C2004,TJL,f,4-OH-PBN,1,715,,,,
C2004,TJL,f,4-OH-PBN,1,930,,,,
C2004,TJL,f,4-OH-PBN,1,1101,,,,
C2004,TJL,f,4-OH-PBN,1,820,,,,
C2004,TJL,f,4-OH-PBN,1,620,,,,
C2004,TJL,f,4-OH-PBN,1,850,,,,
C2004,TJL,f,4-OH-PBN,1,584,,,,
C2004,TJL,f,4-OH-PBN,1,850,,,,
C2004,TJL,m,4-OH-PBN,1,416,,,,
C2004,TJL,m,4-OH-PBN,1,634,,,,
C2004,TJL,m,4-OH-PBN,1,641,,,,
C2004,TJL,f,4-OH-PBN,1,876,,,,
C2004,TJL,f,4-OH-PBN,1,959,,,,
C2004,TJL,f,4-OH-PBN,1,762,,,,
C2004,TJL,f,4-OH-PBN,1,328,,,,
C2004,TJL,f,4-OH-PBN,1,981,,,,
C2004,TJL,f,4-OH-PBN,1,743,,,,
C2004,TJL,f,4-OH-PBN,1,743,,,,
C2004,TJL,f,4-OH-PBN,1,1099,,,,
C2004,TJL,f,4-OH-PBN,1,793,,,,
C2004,TJL,f,4-OH-PBN,1,927,,,,
C2004,TJL,f,4-OH-PBN,1,912,,,,
C2004,TJL,f,4-OH-PBN,1,1005,,,,
C2004,TJL,f,4-OH-PBN,1,916,,,,
C2004,TJL,f,4-OH-PBN,1,367,,,,
C2004,TJL,f,4-OH-PBN,1,677,,,,
C2004,TJL,f,4-OH-PBN,1,1055,,,,
C2004,TJL,m,4-OH-PBN,1,491,,,,
C2004,TJL,m,4-OH-PBN,1,966,,,,
C2004,TJL,m,4-OH-PBN,1,659,,,,
C2004,TJL,m,4-OH-PBN,1,722,,,,
C2004,TJL,m,4-OH-PBN,1,597,,,,
C2004,TJL,m,4-OH-PBN,1,853,,,,
C2004,TJL,f,4-OH-PBN,1,874,,,,
C2004,TJL,f,4-OH-PBN,1,448,,,,
C2004,TJL,f,4-OH-PBN,1,990,,,,
C2004,TJL,f,4-OH-PBN,1,1119,,,,
C2004,TJL,m,4-OH-PBN,1,910,,,,
C2004,TJL,m,4-OH-PBN,1,881,,,,
C2004,TJL,m,4-OH-PBN,1,862,,,,
C2004,TJL,m,4-OH-PBN,1,1037,,,,
C2004,TJL,m,4-OH-PBN,1,792,,,,
C2004,TJL,m,4-OH-PBN,1,953,,,,
C2004,TJL,m,4-OH-PBN,1,248,,,,
C2004,TJL,m,4-OH-PBN,1,787,,,,
C2004,TJL,m,4-OH-PBN,1,387,,,,
C2004,TJL,m,4-OH-PBN,1,745,,,,
C2004,TJL,m,4-OH-PBN,1,738,,,,
C2004,TJL,m,4-OH-PBN,1,550,,,,
C2004,TJL,m,4-OH-PBN,1,769,,,,
C2004,TJL,m,4-OH-PBN,1,355,,,,
C2004,TJL,m,4-OH-PBN,1,502,,,,
C2004,TJL,m,4-OH-PBN,1,911,,,,
C2004,TJL,m,4-OH-PBN,1,547,,,,
C2004,TJL,m,4-OH-PBN,1,652,,,,
C2004,TJL,f,4-OH-PBN,1,1004,,,,
C2004,TJL,f,4-OH-PBN,1,1057,,,,
C2004,TJL,f,4-OH-PBN,1,906,,,,
C2004,TJL,f,4-OH-PBN,1,970,,,,
C2004,TJL,m,4-OH-PBN,1,170,,,,
C2004,TJL,m,4-OH-PBN,1,365,,,,
C2004,TJL,m,4-OH-PBN,1,836,,,,
C2004,TJL,f,4-OH-PBN,1,1019,,,,
C2004,TJL,f,4-OH-PBN,1,988,,,,
C2004,TJL,f,4-OH-PBN,1,655,,,,
C2004,TJL,f,4-OH-PBN,1,837,,,,
C2004,TJL,m,4-OH-PBN,1,447,,,,
C2004,TJL,m,4-OH-PBN,1,713,,,,
C2004,TJL,m,4-OH-PBN,1,685,,,,
C2004,TJL,f,4-OH-PBN,1,927,,,,
C2004,TJL,f,4-OH-PBN,1,715,,,,
C2004,TJL,f,4-OH-PBN,1,813,,,,
C2004,TJL,f,4-OH-PBN,1,905,,,,
C2004,TJL,m,4-OH-PBN,1,414,,,,
C2004,TJL,m,4-OH-PBN,1,293,,,,
C2004,TJL,m,4-OH-PBN,1,405,,,,
C2004,TJL,m,4-OH-PBN,1,695,,,,
C2004,TJL,m,4-OH-PBN,1,330,,,,
C2004,TJL,m,4-OH-PBN,1,429,,,,
C2004,TJL,m,4-OH-PBN,1,920,,,,
C2004,TJL,m,4-OH-PBN,1,570,,,,
C2004,TJL,m,4-OH-PBN,1,625,,,,
C2004,TJL,m,Aspirin,1,665,,,,
C2004,TJL,m,Aspirin,1,1008,,,,
C2004,TJL,m,Aspirin,1,1131,,,,
C2004,TJL,f,Aspirin,1,625,,,,
C2004,TJL,f,Aspirin,1,856,,,,
C2004,TJL,f,Aspirin,1,842,,,,
C2004,TJL,f,Aspirin,1,752,,,,
C2004,TJL,f,Aspirin,1,772,,,,
C2004,TJL,f,Aspirin,1,1107,,,,
C2004,TJL,f,Aspirin,1,866,,,,
C2004,TJL,f,Aspirin,1,727,,,,
C2004,TJL,m,Aspirin,1,897,,,,
C2004,TJL,m,Aspirin,1,1090,,,,
C2004,TJL,m,Aspirin,1,936,,,,
C2004,TJL,m,Aspirin,1,632,,,,
C2004,TJL,m,Aspirin,1,927,,,,
C2004,TJL,m,Aspirin,1,696,,,,
C2004,TJL,m,Aspirin,1,790,,,,
C2004,TJL,m,Aspirin,1,1168,,,,
C2004,TJL,m,Aspirin,1,882,,,,
C2004,TJL,m,Aspirin,1,763,,,,
C2004,TJL,m,Aspirin,1,839,,,,
C2004,TJL,m,Aspirin,1,768,,,,
C2004,TJL,f,Aspirin,1,874,,,,
C2004,TJL,f,Aspirin,1,854,,,,
C2004,TJL,f,Aspirin,1,617,,,,
C2004,TJL,f,Aspirin,1,804,,,,
C2004,TJL,m,Aspirin,1,1022,,,,
C2004,TJL,m,Aspirin,1,882,,,,
C2004,TJL,m,Aspirin,1,1091,,,,
C2004,TJL,f,Aspirin,1,739,,,,
C2004,TJL,f,Aspirin,1,577,,,,
C2004,TJL,f,Aspirin,1,1163,,,,
C2004,TJL,f,Aspirin,1,1019,,,,
C2004,TJL,m,Aspirin,1,834,,,,
C2004,TJL,m,Aspirin,1,657,,,,
C2004,TJL,m,Aspirin,1,632,,,,
C2004,TJL,m,Aspirin,1,654,,,,
C2004,TJL,m,Aspirin,1,415,,,,
C2004,TJL,m,Aspirin,1,1201,,,,
C2004,TJL,f,Aspirin,1,844,,,,
C2004,TJL,f,Aspirin,1,816,,,,
C2004,TJL,f,Aspirin,1,927,,,,
C2004,TJL,f,Aspirin,1,762,,,,
C2004,TJL,m,Aspirin,1,859,,,,
C2004,TJL,m,Aspirin,1,951,,,,
C2004,TJL,m,Aspirin,1,788,,,,
C2004,TJL,f,Aspirin,1,892,,,,
C2004,TJL,f,Aspirin,1,879,,,,
C2004,TJL,f,Aspirin,1,767,,,,
C2004,TJL,f,Aspirin,1,1075,,,,
C2004,TJL,m,Aspirin,1,852,,,,
C2004,TJL,m,Aspirin,1,318,,,,
C2004,TJL,m,Aspirin,1,802,,,,
C2004,TJL,m,Aspirin,1,708,,,,
C2004,TJL,m,Aspirin,1,866,,,,
C2004,TJL,m,Aspirin,1,840,,,,
C2004,TJL,f,Aspirin,1,910,,,,
C2004,TJL,f,Aspirin,1,840,,,,
C2004,TJL,f,Aspirin,1,981,,,,
C2004,TJL,f,Aspirin,1,777,,,,
C2004,TJL,m,Aspirin,1,672,,,,
C2004,TJL,m,Aspirin,1,851,,,,
C2004,TJL,m,Aspirin,1,251,,,,
C2004,TJL,m,Aspirin,1,890,,,,
C2004,TJL,m,Aspirin,1,653,,,,
C2004,TJL,m,Aspirin,1,855,,,,
C2004,TJL,m,Aspirin,0,829,,,,
C2004,TJL,m,Aspirin,0,827,,,,
C2004,TJL,m,Aspirin,0,827,,,,
C2004,TJL,m,Aspirin,1,846,,,,
C2004,TJL,m,Aspirin,1,698,,,,
C2004,TJL,m,Aspirin,1,571,,,,
C2004,TJL,f,Aspirin,1,988,,,,
