cohort,site,sex,group,dose,cell,is_control,init_months,bw_6,bw_12,pct_6_12,lifespan_days,dead
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,37.400002,47.400002,26.737966484600722,861,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,34.400002,37.900002,10.17441801311523,1117,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,40.299999,41.0,1.7369752292053415,881,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,35.599998,41.099998,15.449439070193206,879,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,41.200001,46.0,11.65048272693003,866,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,37.200001,43.799999,17.741929630593287,1107,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,28.0,30.9,10.357142857142852,1064,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,26.4,29.6,12.121212121212132,707,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,25.4,27.799999,9.448814960629926,1048,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,27.6,29.1,5.434782608695652,723,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,33.200001,36.200001,9.036144306140232,627,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,28.0,28.700001,2.5000035714285724,751,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,34.599998,40.700001,17.63006749306749,755,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,33.599998,38.299999,13.988099046910659,688,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,33.900002,39.5,16.519167167010785,1243,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,42.799999,45.299999,5.841121631801907,981,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,34.099998,40.299999,18.181822180752032,507,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,39.700001,46.400002,16.876576401093793,837,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,45.599998,55.0,20.61404037780879,1026,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,48.400002,54.5,12.603301132094993,896,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,40.299999,45.900002,13.895789426694531,776,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,45.200001,49.299999,9.070791834716994,549,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,45.099998,51.900002,15.077614859317736,773,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,42.299999,47.0,11.11111373785139,742,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,43.700001,48.0,9.839814420141545,795,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,39.5,45.700001,15.696205063291139,1073,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,37.5,44.0,17.333333333333332,827,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,34.400002,38.5,11.918598144267548,984,1
C2004,UM,f,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|f,False,4.0,29.299999,37.599998,28.327642605039,819,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,30.200001,37.799999,25.165555458094186,1030,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,32.0,43.700001,36.562503125,886,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,28.6,33.200001,16.083919580419575,1016,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,43.700001,53.299999,21.967958307369372,452,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,29.700001,34.400002,15.82491865909365,1145,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,42.5,48.400002,13.882357647058825,850,1
C2004,UM,m,4-OH-PBN,350,C2004|UM|4-OH-PBN|350|m,False,4.0,36.5,43.299999,18.63013424657534,857,1
