population,cohort,site,sex,id,group,dose,age_initiation,status,dead,age,Rx(ppm),Unnamed: 11,weight_42d,weight_6m,weight_12m,maternal_age_days,parity,mouse
UM-HET3,C2004,TJL,f,JL00061,Control,0,,dead,1,800,,,,,,,,C2004|JL00061
UM-HET3,C2004,TJL,f,JL00062,Control,0,,dead,1,800,,,,,,,,C2004|JL00062
UM-HET3,C2004,TJL,f,JL00063,Control,0,,dead,1,1000,,,,,,,,C2004|JL00063
UM-HET3,C2004,TJL,f,JL00064,Control,0,,dead,1,700,,,,,,,,C2004|JL00064
UM-HET3,C2004,TJL,f,JL00116,Control,0,,dead,1,738,,,,,,,,C2004|JL00116
UM-HET3,C2004,TJL,f,JL00117,Control,0,,dead,1,807,,,,,,,,C2004|JL00117
UM-HET3,C2004,TJL,f,JL00118,Control,0,,dead,1,1012,,,,,,,,C2004|JL00118
UM-HET3,C2004,TJL,f,JL00119,Control,0,,dead,1,919,,,,,,,,C2004|JL00119
UM-HET3,C2004,TJL,f,JL00175,Control,0,,dead,1,541,,,,,,,,C2004|JL00175
UM-HET3,C2004,TJL,f,JL00176,Control,0,,dead,1,683,,,,,,,,C2004|JL00176
UM-HET3,C2004,TJL,f,JL00177,Control,0,,dead,1,969,,,,,,,,C2004|JL00177
UM-HET3,C2004,TJL,f,JL00178,Control,0,,dead,1,714,,,,,,,,C2004|JL00178
UM-HET3,C2004,TJL,f,JL00223,Control,0,,dead,1,962,,,,,,,,C2004|JL00223
UM-HET3,C2004,TJL,f,JL00224,Control,0,,dead,1,738,,,,,,,,C2004|JL00224
UM-HET3,C2004,TJL,f,JL00225,Control,0,,dead,1,962,,,,,,,,C2004|JL00225
UM-HET3,C2004,TJL,f,JL00226,Control,0,,dead,1,1103,,,,,,,,C2004|JL00226
UM-HET3,C2004,TJL,f,JL00244,Control,0,,removed,0,917,,,,,,,,C2004|JL00244
UM-HET3,C2004,TJL,f,JL00245,Control,0,,removed,0,917,,,,,,,,C2004|JL00245
UM-HET3,C2004,TJL,f,JL00246,Control,0,,dead,1,238,,,,,,,,C2004|JL00246
UM-HET3,C2004,TJL,f,JL00247,Control,0,,removed,0,917,,,,,,,,C2004|JL00247
UM-HET3,C2004,TJL,f,JL00251,Control,0,,dead,1,821,,,,,,,,C2004|JL00251
UM-HET3,C2004,TJL,f,JL00252,Control,0,,dead,1,578,,,,,,,,C2004|JL00252
UM-HET3,C2004,TJL,f,JL00253,Control,0,,dead,1,896,,,,,,,,C2004|JL00253
UM-HET3,C2004,TJL,f,JL00254,Control,0,,dead,1,1212,,,,,,,,C2004|JL00254
UM-HET3,C2004,TJL,f,JL00328,Control,0,,dead,1,895,,,,,,,,C2004|JL00328
UM-HET3,C2004,TJL,f,JL00329,Control,0,,dead,1,798,,,,,,,,C2004|JL00329
UM-HET3,C2004,TJL,f,JL00330,Control,0,,dead,1,1063,,,,,,,,C2004|JL00330
UM-HET3,C2004,TJL,f,JL00331,Control,0,,dead,1,699,,,,,,,,C2004|JL00331
UM-HET3,C2004,TJL,f,JL00394,Control,0,,dead,1,747,,,,,,,,C2004|JL00394
