population,cohort,site,sex,id,group,dose,age_initiation,status,dead,age,Rx(ppm),Unnamed: 11,weight_42d,weight_6m,weight_12m,maternal_age_days,parity,Tx,entry,mean,std,weight_42d_z,arm,positive_m,positive_f,mouse
UM-HET3,C2004,UM,f,UM00609,Aspirin,21,4.0,dead,1,1013,,,20.799999,39.0,38.5,,,1,121.75,16.733962188679246,1.640115255074368,2.479116512538252,C2004|Aspirin,True,False,C2004|UM00609
UM-HET3,C2004,UM,f,UM00616,Aspirin,21,4.0,dead,1,1089,,,18.799999,29.200001,33.400002,,,1,121.75,16.733962188679246,1.640115255074368,1.2596900156428779,C2004|Aspirin,True,False,C2004|UM00616
UM-HET3,C2004,UM,f,UM01421,Aspirin,21,4.0,dead,1,931,,,20.0,33.0,41.0,,,1,121.75,16.733962188679246,1.640115255074368,1.991346523493351,C2004|Aspirin,True,False,C2004|UM01421
UM-HET3,C2004,UM,f,UM01442,Aspirin,21,4.0,dead,1,940,,,18.9,30.200001,30.0,,,1,121.75,16.733962188679246,1.640115255074368,1.3206619502008943,C2004|Aspirin,True,False,C2004|UM01442
UM-HET3,C2004,UM,f,UM03332,Aspirin,21,4.0,dead,1,927,,,16.200001,24.9,32.700001,,,1,121.75,16.733962188679246,1.640115255074368,-0.32556321089461154,C2004|Aspirin,True,False,C2004|UM03332
UM-HET3,C2004,UM,f,UM03703,Aspirin,21,4.0,dead,1,1133,,,16.700001,28.700001,44.299999,,,1,121.75,16.733962188679246,1.640115255074368,-0.02070658667076798,C2004|Aspirin,True,False,C2004|UM03703
UM-HET3,C2004,UM,f,UM03836,Aspirin,21,4.0,dead,1,1011,,,15.0,27.5,37.900002,,,1,121.75,16.733962188679246,1.640115255074368,-1.057219718745085,C2004|Aspirin,True,False,C2004|UM03836
UM-HET3,C2004,UM,f,UM03850,Aspirin,21,4.0,dead,1,966,,,15.2,34.900002,42.0,,,1,121.75,16.733962188679246,1.640115255074368,-0.9352770690555479,C2004|Aspirin,True,False,C2004|UM03850
UM-HET3,C2004,UM,f,UM03857,Aspirin,21,4.0,dead,1,1175,,,16.799999,38.0,44.5,,,1,121.75,16.733962188679246,1.640115255074368,0.04026351874750345,C2004|Aspirin,True,False,C2004|UM03857
UM-HET3,C2004,UM,f,UM04249,Aspirin,21,4.0,dead,1,969,,,16.5,25.1,29.6,,,1,121.75,16.733962188679246,1.640115255074368,-0.14264984607355405,C2004|Aspirin,True,False,C2004|UM04249
UM-HET3,C2004,UM,f,UM04361,Aspirin,21,4.0,dead,1,1073,,,16.9,31.1,30.799999,,,1,121.75,16.733962188679246,1.640115255074368,0.10123545330551995,C2004|Aspirin,True,False,C2004|UM04361
UM-HET3,C2004,UM,f,UM04368,Aspirin,21,4.0,dead,1,1021,,,17.4,30.5,37.5,,,1,121.75,16.733962188679246,1.640115255074368,0.40609207752936355,C2004|Aspirin,True,False,C2004|UM04368
UM-HET3,C2004,UM,f,UM04998,Aspirin,21,4.0,dead,1,1023,,,17.0,28.700001,34.400002,,,1,121.75,16.733962188679246,1.640115255074368,0.16220677815028953,C2004|Aspirin,True,False,C2004|UM04998
UM-HET3,C2004,UM,m,UM00322,Aspirin,21,4.0,dead,1,926,,,22.200001,39.299999,44.799999,,,1,121.75,21.1257144,2.399558276603475,0.4477018168196486,C2004|Aspirin,True,False,C2004|UM00322
UM-HET3,C2004,UM,m,UM00385,Aspirin,21,4.0,dead,1,1036,,,22.299999,37.700001,41.5,,,1,121.75,21.1257144,2.399558276603475,0.48937532022025965,C2004|Aspirin,True,False,C2004|UM00385
UM-HET3,C2004,UM,m,UM00399,Aspirin,21,4.0,dead,1,1029,,,21.700001,39.0,43.299999,,,1,121.75,21.1257144,2.399558276603475,0.23933013238290315,C2004|Aspirin,True,False,C2004|UM00399
UM-HET3,C2004,UM,m,UM01001,Aspirin,21,4.0,dead,1,1032,,,23.9,37.599998,43.599998,,,1,121.75,21.1257144,2.399558276603475,1.1561651271612134,C2004|Aspirin,True,False,C2004|UM01001
UM-HET3,C2004,UM,m,UM01015,Aspirin,21,4.0,dead,1,1009,,,23.299999,38.200001,44.200001,,,1,121.75,21.1257144,2.399558276603475,0.9061186890937505,C2004|Aspirin,True,False,C2004|UM01015
UM-HET3,C2004,UM,m,UM01029,Aspirin,21,4.0,dead,1,1177,,,24.0,38.099998,45.200001,,,1,121.75,21.1257144,2.399558276603475,1.197839464048563,C2004|Aspirin,True,False,C2004|UM01029
UM-HET3,C2004,UM,m,UM01449,Aspirin,21,4.0,dead,1,1137,,,22.9,39.599998,38.900002,,,1,121.75,21.1257144,2.399558276603475,0.7394217582877226,C2004|Aspirin,True,False,C2004|UM01449
UM-HET3,C2004,UM,m,UM01456,Aspirin,21,4.0,dead,1,921,,,21.299999,35.700001,39.400002,,,1,121.75,21.1257144,2.399558276603475,0.07263195134676881,C2004|Aspirin,True,False,C2004|UM01456
UM-HET3,C2004,UM,m,UM01722,Aspirin,21,4.0,dead,1,997,,,22.200001,43.799999,49.099998,,,1,121.75,21.1257144,2.399558276603475,0.4477018168196486,C2004|Aspirin,True,False,C2004|UM01722
UM-HET3,C2004,UM,m,UM02345,Aspirin,21,4.0,dead,1,1118,,,19.9,34.599998,42.0,,,1,121.75,21.1257144,2.399558276603475,-0.51080834833275,C2004|Aspirin,True,False,C2004|UM02345
UM-HET3,C2004,UM,m,UM02415,Aspirin,21,4.0,dead,1,991,,,18.0,33.799999,42.200001,,,1,121.75,21.1257144,2.399558276603475,-1.302620749192382,C2004|Aspirin,True,False,C2004|UM02415
UM-HET3,C2004,UM,m,UM02527,Aspirin,21,4.0,dead,1,1096,,,23.299999,37.0,42.700001,,,1,121.75,21.1257144,2.399558276603475,0.9061186890937505,C2004|Aspirin,True,False,C2004|UM02527
UM-HET3,C2004,UM,m,UM02996,Aspirin,21,4.0,dead,1,998,,,22.4,43.200001,45.799999,,,1,121.75,21.1257144,2.399558276603475,0.5310500738509771,C2004|Aspirin,True,False,C2004|UM02996
UM-HET3,C2004,UM,m,UM03003,Aspirin,21,4.0,dead,1,961,,,19.6,41.5,43.700001,,,1,121.75,21.1257144,2.399558276603475,-0.635831358994796,C2004|Aspirin,True,False,C2004|UM03003
UM-HET3,C2004,UM,m,UM03178,Aspirin,21,4.0,dead,1,1154,,,18.799999,31.4,40.099998,,,1,121.75,21.1257144,2.399558276603475,-0.9692264708369583,C2004|Aspirin,True,False,C2004|UM03178
UM-HET3,C2004,UM,m,UM03353,Aspirin,21,4.0,dead,1,942,,,18.5,36.900002,45.400002,,,1,121.75,21.1257144,2.399558276603475,-1.0942490647556367,C2004|Aspirin,True,False,C2004|UM03353
UM-HET3,C2004,UM,m,UM03388,Aspirin,21,4.0,dead,1,1103,,,21.4,35.099998,35.700001,,,1,121.75,21.1257144,2.399558276603475,0.11430670497748631,C2004|Aspirin,True,False,C2004|UM03388
UM-HET3,C2004,UM,m,UM03724,Aspirin,21,4.0,dead,1,1049,,,17.700001,32.200001,41.700001,,,1,121.75,21.1257144,2.399558276603475,-1.4276433431110602,C2004|Aspirin,True,False,C2004|UM03724
UM-HET3,C2004,UM,m,UM03731,Aspirin,21,4.0,dead,1,1202,,,19.4,32.099998,38.599998,,,1,121.75,21.1257144,2.399558276603475,-0.7191800327694954,C2004|Aspirin,True,False,C2004|UM03731
UM-HET3,C2004,UM,m,UM03997,Aspirin,21,4.0,dead,1,1034,,,21.299999,36.900002,40.900002,,,1,121.75,21.1257144,2.399558276603475,0.07263195134676881,C2004|Aspirin,True,False,C2004|UM03997
UM-HET3,C2004,UM,m,UM04536,Aspirin,21,4.0,dead,1,1256,,,19.5,31.700001,36.200001,,,1,121.75,21.1257144,2.399558276603475,-0.6775056958821457,C2004|Aspirin,True,False,C2004|UM04536
UM-HET3,C2004,UM,f,UM00028,Control,0,,dead,1,945,,,15.5,32.700001,32.5,,,0,121.75,16.733962188679246,1.640115255074368,-0.7523630945212413,C2004|Aspirin,True,False,C2004|UM00028
UM-HET3,C2004,UM,f,UM00035,Control,0,,dead,1,985,,,16.299999,26.6,32.599998,,,0,121.75,16.733962188679246,1.640115255074368,-0.26459310547634013,C2004|Aspirin,True,False,C2004|UM00035
UM-HET3,C2004,UM,f,UM00077,Control,0,,dead,1,988,,,14.9,26.6,33.0,,,0,121.75,16.733962188679246,1.640115255074368,-1.1181910435898532,C2004|Aspirin,True,False,C2004|UM00077
UM-HET3,C2004,UM,f,UM00091,Control,0,,dead,1,831,,,15.7,30.4,35.799999,,,0,121.75,16.733962188679246,1.640115255074368,-0.6304204448317042,C2004|Aspirin,True,False,C2004|UM00091
UM-HET3,C2004,UM,f,UM00098,Control,0,,dead,1,803,,,14.8,25.1,29.9,,,0,121.75,16.733962188679246,1.640115255074368,-1.1791623684346217,C2004|Aspirin,True,False,C2004|UM00098
UM-HET3,C2004,UM,f,UM00875,Control,0,,dead,1,973,,,17.200001,23.1,26.6,,,0,121.75,16.733962188679246,1.640115255074368,0.2841500375530756,C2004|Aspirin,True,False,C2004|UM00875
UM-HET3,C2004,UM,f,UM00882,Control,0,,dead,1,1010,,,19.200001,27.0,30.799999,,,0,121.75,16.733962188679246,1.640115255074368,1.50357653444845,C2004|Aspirin,True,False,C2004|UM00882
UM-HET3,C2004,UM,f,UM00889,Control,0,,dead,1,1005,,,17.9,29.0,30.4,,,0,121.75,16.733962188679246,1.640115255074368,0.7109487017532071,C2004|Aspirin,True,False,C2004|UM00889
UM-HET3,C2004,UM,f,UM01379,Control,0,,dead,1,1093,,,18.4,27.799999,33.200001,,,0,121.75,16.733962188679246,1.640115255074368,1.0158053259770508,C2004|Aspirin,True,False,C2004|UM01379
UM-HET3,C2004,UM,f,UM01386,Control,0,,dead,1,1111,,,19.9,32.200001,35.5,,,0,121.75,16.733962188679246,1.640115255074368,1.9303751986485815,C2004|Aspirin,True,False,C2004|UM01386
UM-HET3,C2004,UM,f,UM01820,Control,0,,dead,1,1021,,,14.3,21.9,26.4,,,0,121.75,16.733962188679246,1.640115255074368,-1.4840189926584655,C2004|Aspirin,True,False,C2004|UM01820
UM-HET3,C2004,UM,f,UM01827,Control,0,,dead,1,1159,,,16.5,21.799999,23.9,,,0,121.75,16.733962188679246,1.640115255074368,-0.14264984607355405,C2004|Aspirin,True,False,C2004|UM01827
UM-HET3,C2004,UM,f,UM01834,Control,0,,dead,1,958,,,20.299999,25.6,28.6,,,0,121.75,16.733962188679246,1.640115255074368,2.1742598883144084,C2004|Aspirin,True,False,C2004|UM01834
UM-HET3,C2004,UM,f,UM01841,Control,0,,dead,1,991,,,19.6,25.9,30.299999,,,0,121.75,16.733962188679246,1.640115255074368,1.747461224114277,C2004|Aspirin,True,False,C2004|UM01841
UM-HET3,C2004,UM,f,UM02093,Control,0,,dead,1,939,,,16.9,25.200001,29.200001,,,0,121.75,16.733962188679246,1.640115255074368,0.10123545330551995,C2004|Aspirin,True,False,C2004|UM02093
UM-HET3,C2004,UM,f,UM02100,Control,0,,dead,1,957,,,15.1,21.299999,23.1,,,0,121.75,16.733962188679246,1.640115255074368,-0.9962483939003163,C2004|Aspirin,True,False,C2004|UM02100
UM-HET3,C2004,UM,f,UM02107,Control,0,,dead,1,1006,,,17.0,28.1,31.299999,,,0,121.75,16.733962188679246,1.640115255074368,0.16220677815028953,C2004|Aspirin,True,False,C2004|UM02107
UM-HET3,C2004,UM,f,UM02114,Control,0,,dead,1,939,,,16.0,26.6,30.799999,,,0,121.75,16.733962188679246,1.640115255074368,-0.44750647029739765,C2004|Aspirin,True,False,C2004|UM02114
UM-HET3,C2004,UM,f,UM02226,Control,0,,dead,1,944,,,14.0,24.1,26.299999,,,0,121.75,16.733962188679246,1.640115255074368,-1.666932967192772,C2004|Aspirin,True,False,C2004|UM02226
