cohort,group,start_age,positive_m,positive_f
C2004,Aspirin,4,1,0
C2004,NDGA,9,1,0
C2005,Rapa,20,1,1
C2006,Rapa,9,1,1
C2009,17aE2,10,1,0
C2009,ACA,4,1,1
C2009,Rapa_lo,9,0,1
C2009,Rapa_mid,9,1,1
C2009,Rapa_hi,9,1,1
C2010,ND_lo,6,1,0
C2010,ND_mid,6,1,0
C2010,ND_hi,6,1,0
C2011,17aE2_hi,10,1,0
C2011,MetRapa,9,1,1
C2011,Prot,10,1,0
C2013,ACA_lo,8,1,0
C2013,ACA_mid,8,1,1
C2013,ACA_hi,8,1,1
C2014,Gly,9,1,1
C2015,rapa_hi_continuous,20,1,1
C2015,rapa_hi_cycle,20,1,1
C2015,rapa_hi_start_stop,20,1,0
C2016,17aE2_16m,16,1,0
C2016,17aE2_20m,20,1,0
C2016,Cana,7,1,0
C2017,Capt,5,0,1
C2017,RaAc_9,9,1,1
C2017,RaAc_16,16,1,1
C2019,Asta,12,1,0
C2019,Mec,12,1,0
C2020,Cana_16,16,1,0
C2020,OH-EST,12,1,0
C2021,Epi,7,1,0
C2021,Hal,7,1,0
C2021,M160,7,1,0
