cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2004,4-OH-PBN,UM,m,36.94528279245283,813.0,126,60,-0.0363691068127303,0.1650225415520136,0.9642843038820992,866.0,879.0,1.5011547344110854,C2004|UM,C2004|UM|m
C2004,4-OH-PBN,UM,f,27.301219536585368,889.5,96,48,0.1169488653606906,0.2000897978626699,1.1240619497185804,920.0,863.0,-6.195652173913044,C2004|UM,C2004|UM|f
C2004,Aspirin,UM,m,36.94528279245283,813.0,126,60,-0.0606720951325828,0.1648323173319644,0.9411317908806514,866.0,889.0,2.655889145496536,C2004|UM,C2004|UM|m
C2004,Aspirin,UM,f,27.301219536585368,889.5,96,48,0.291667552603592,0.1903007721520913,1.338657910319042,920.0,838.0,-8.91304347826087,C2004|UM,C2004|UM|f
C2004,NDGA,UM,m,36.94528279245283,813.0,126,60,-0.2255020130581491,0.1637826575784979,0.7981154537934556,866.0,928.0,7.159353348729792,C2004|UM,C2004|UM|m
C2004,NDGA,UM,f,27.301219536585368,889.5,96,52,-0.3062487459009889,0.1966600099246863,0.7362034690828639,920.0,916.0,-0.43478260869565216,C2004|UM,C2004|UM|f
C2004,NFP,UM,m,36.94528279245283,813.0,126,60,0.2491379285466276,0.167265136998645,1.282918972016316,866.0,831.0,-4.041570438799076,C2004|UM,C2004|UM|m
C2004,NFP,UM,f,27.301219536585368,889.5,96,48,0.1200800522718285,0.1941819130598667,1.127587113876627,920.0,892.0,-3.0434782608695654,C2004|UM,C2004|UM|f
C2005,CAPE_hi,TJL,m,41.30578512396694,802.5,126,60,-0.1257288596879227,0.1646340195091267,0.8818539205179037,804.0,843.0,4.850746268656716,C2005|TJL,C2005|TJL|m
C2005,CAPE_hi,TJL,f,30.19148936170213,876.5,96,48,-0.4629838231751494,0.18166890954249,0.6294028141648944,881.0,958.0,8.740068104426788,C2005|TJL,C2005|TJL|f
C2005,CAPE_hi,UM,m,36.65363631818182,860.5,126,60,0.250106327335421,0.1681207831608988,1.2841619509474442,899.0,847.0,-5.784204671857619,C2005|UM,C2005|UM|m
C2005,CAPE_hi,UM,f,26.974736884210525,884.5,96,48,-0.2220660357387259,0.1803063466303448,0.8008624770431633,891.0,933.0,4.713804713804714,C2005|UM,C2005|UM|f
C2005,CAPE_hi,UT,m,43.32934760869566,716.5,126,63,-0.0244596120755234,0.1574563082071159,0.9758371001576356,722.0,710.0,-1.6620498614958448,C2005|UT,C2005|UT|m
C2005,CAPE_hi,UT,f,28.64666661333333,883.5,104,52,0.1153345170033949,0.1742661767997466,1.1222487860891937,896.0,858.0,-4.241071428571429,C2005|UT,C2005|UT|f
C2005,CAPE_lo,TJL,m,41.30578512396694,802.5,126,60,0.0392067610835004,0.1637383539560068,1.0399854899486507,804.0,792.0,-1.492537313432836,C2005|TJL,C2005|TJL|m
C2005,CAPE_lo,TJL,f,30.19148936170213,876.5,96,48,-0.2039740941136919,0.1846184034970113,0.815483496736406,881.0,920.0,4.426787741203178,C2005|TJL,C2005|TJL|f
C2005,CAPE_lo,UM,m,36.65363631818182,860.5,126,60,0.2095836485790194,0.1626361644368137,1.2331645232567336,899.0,881.0,-2.0022246941045605,C2005|UM,C2005|UM|m
C2005,CAPE_lo,UM,f,26.974736884210525,884.5,96,48,-0.0678659294017675,0.1789929060331022,0.9343857388348172,891.0,895.0,0.4489337822671156,C2005|UM,C2005|UM|f
C2005,CAPE_lo,UT,m,43.32934760869566,716.5,126,60,-0.2612044108967642,0.1598772534830901,0.7701234818930814,722.0,767.0,6.232686980609419,C2005|UT,C2005|UT|m
C2005,CAPE_lo,UT,f,28.64666661333333,883.5,104,48,0.2277710705405953,0.1771497509775228,1.255797803410213,896.0,848.0,-5.357142857142857,C2005|UT,C2005|UT|f
C2005,Enal,TJL,m,41.30578512396694,802.5,126,60,0.1253427187349182,0.1634243338173638,1.1335368708263556,804.0,798.0,-0.746268656716418,C2005|TJL,C2005|TJL|m
C2005,Enal,TJL,f,30.19148936170213,876.5,96,48,-0.1416962308143351,0.1891118531211225,0.8678848531227031,881.0,878.0,-0.340522133938706,C2005|TJL,C2005|TJL|f
C2005,Enal,UM,m,36.65363631818182,860.5,126,60,-0.0672082845752672,0.166654743968498,0.935000434885602,899.0,932.0,3.670745272525028,C2005|UM,C2005|UM|m
C2005,Enal,UM,f,26.974736884210525,884.5,96,44,-0.1837548153007277,0.1839531161970412,0.8321398067647243,891.0,951.0,6.734006734006734,C2005|UM,C2005|UM|f
C2005,Enal,UT,m,43.32934760869566,716.5,126,60,-0.3948041951390745,0.1619070201637757,0.6738119619903966,722.0,849.0,17.590027700831026,C2005|UT,C2005|UT|m
C2005,Enal,UT,f,28.64666661333333,883.5,104,52,0.2397699896510918,0.1738014480753063,1.270956783485778,896.0,839.0,-6.361607142857143,C2005|UT,C2005|UT|f
C2005,Rapa,TJL,m,41.30578512396694,802.5,126,60,-0.3519560255667614,0.1655944178832173,0.703311049001107,804.0,819.0,1.8656716417910448,C2005|TJL,C2005|TJL|m
C2005,Rapa,TJL,f,30.19148936170213,876.5,96,48,-0.8952550654782437,0.2030179548446199,0.408503390238835,881.0,1014.0,15.096481271282633,C2005|TJL,C2005|TJL|f
C2005,Rapa,UM,m,36.65363631818182,860.5,126,57,-0.4235335071791306,0.170757794538553,0.6547292371690554,899.0,1054.0,17.24137931034483,C2005|UM,C2005|UM|m
C2005,Rapa,UM,f,26.974736884210525,884.5,96,48,-0.9197945552483504,0.1998760662883752,0.3986009231407688,891.0,1024.0,14.927048260381595,C2005|UM,C2005|UM|f
