cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2004,4-OH-PBN,UM,m,36.94528279245283,813.0,126,60,-0.03636910681273038,0.16502254155201368,0.9642843038820993
C2004,4-OH-PBN,UM,f,27.301219536585368,889.5,96,48,0.11694886536069066,0.20008979786266998,1.1240619497185804
C2004,Aspirin,UM,m,36.94528279245283,813.0,126,60,-0.060672095132582815,0.16483231733196443,0.9411317908806514
C2004,Aspirin,UM,f,27.301219536585368,889.5,96,48,0.291667552603592,0.19030077215209135,1.338657910319042
C2004,NDGA,UM,m,36.94528279245283,813.0,126,60,-0.22550201305814915,0.16378265757849794,0.7981154537934556
C2004,NDGA,UM,f,27.301219536585368,889.5,96,52,-0.30624874590098894,0.19666000992468638,0.7362034690828639
C2004,NFP,UM,m,36.94528279245283,813.0,126,60,0.24913792854662764,0.167265136998645,1.282918972016316
C2004,NFP,UM,f,27.301219536585368,889.5,96,48,0.12008005227182852,0.1941819130598667,1.127587113876627
C2005,CAPE_hi,TJL,m,41.30578512396694,802.5,126,60,-0.12572885968792272,0.1646340195091267,0.8818539205179037
C2005,CAPE_hi,TJL,f,30.19148936170213,876.5,96,48,-0.4629838231751494,0.18166890954249001,0.6294028141648944
C2005,CAPE_hi,UM,m,36.65363631818182,860.5,126,60,0.25010632733542104,0.16812078316089887,1.2841619509474442
C2005,CAPE_hi,UM,f,26.974736884210525,884.5,96,48,-0.22206603573872596,0.18030634663034487,0.8008624770431633
C2005,CAPE_hi,UT,m,43.32934760869566,716.5,126,63,-0.024459612075523406,0.15745630820711598,0.9758371001576355
C2005,CAPE_hi,UT,f,28.646666613333334,883.5,104,52,0.1153345170033949,0.1742661767997466,1.1222487860891937
C2005,CAPE_lo,TJL,m,41.30578512396694,802.5,126,60,0.0392067610835004,0.16373835395600683,1.0399854899486507
C2005,CAPE_lo,TJL,f,30.19148936170213,876.5,96,48,-0.20397409411369194,0.18461840349701136,0.815483496736406
C2005,CAPE_lo,UM,m,36.65363631818182,860.5,126,60,0.20958364857901948,0.16263616443681378,1.2331645232567336
C2005,CAPE_lo,UM,f,26.974736884210525,884.5,96,48,-0.06786592940176754,0.17899290603310222,0.9343857388348173
C2005,CAPE_lo,UT,m,43.32934760869566,716.5,126,60,-0.2612044108967642,0.15987725348309018,0.7701234818930814
C2005,CAPE_lo,UT,f,28.646666613333334,883.5,104,48,0.22777107054059534,0.17714975097752286,1.255797803410213
