"sex","split","bin","cells","mean_control_weight","HR","reduction_pct","lo","hi"
"m",3,"Q1",74,37.2508059987418,0.889798493184226,11.0201506815774,0.854434147301526,0.926626541054564
"m",3,"Q2",74,41.3143446505864,0.833328779748531,16.6671220251469,0.800322662330758,0.867696102887786
"m",3,"Q3",71,43.4745679237488,0.776845280977936,22.3154719022064,0.745434595574141,0.809579531404598
"m",4,"Q1",60,36.7156019082521,0.882705855886861,11.7294144113139,0.843779237926529,0.92342830090446
"m",4,"Q2",55,40.5135921228435,0.853003038288974,14.6996961711026,0.814153376287572,0.893706523269659
"m",4,"Q3",51,42.1657674774167,0.797068607457518,20.2931392542482,0.75884772197866,0.837214564389418
"m",4,"Q4",53,43.7524084535222,0.792893585195353,20.7106414804647,0.756035195696779,0.83154890277897
"m",5,"Q1",46,35.9829344792119,0.853612888876702,14.6387111123298,0.810568470500422,0.898943137532327
"m",5,"Q2",42,39.5846888857784,0.937947174472509,6.20528255274909,0.889230483475338,0.989332820286027
"m",5,"Q3",45,41.3928368941159,0.777051411761771,22.2948588238229,0.737420431920391,0.818812268258585
"m",5,"Q4",42,42.6376462799281,0.804197473704705,19.5802526295295,0.762526745574891,0.848145432886342
"m",5,"Q5",44,43.8473806226776,0.80232145103861,19.767854896139,0.761357650586168,0.845489252391569
"m",10,"Q1",25,35.0615070624612,0.880291078276348,11.9708921723652,0.82038511615382,0.944571478973104
"m",10,"Q2",21,37.0798718801056,0.823447133976549,17.6552866023451,0.763027968425496,0.88865049580473
"m",10,"Q3",20,39.1848799519808,0.970622380200319,2.93776197996808,0.898723816493163,1.04827288167555
"m",10,"Q4",22,39.9481515528672,0.908728351823707,9.12716481762934,0.843921680048383,0.97851167582386
"m",10,"Q5",27,41.2374726668547,0.792070193197704,20.7929806802296,0.741183448563469,0.846450621864534
"m",10,"Q6",18,41.6258832350076,0.75300507651091,24.699492348909,0.691582901305759,0.819882394692861
"m",10,"Q7",20,42.2930733779263,0.873373090965963,12.6626909034037,0.809135757877246,0.942710229522648
"m",10,"Q8",22,42.9508943726569,0.744054085031395,25.5945914968605,0.690880294332893,0.801320411065526
"m",10,"Q9",25,43.4633282077397,0.782575869390132,21.7424130609868,0.730498757446741,0.838365548344374
"m",10,"Q10",19,44.3527127475958,0.830310808567326,16.9689191432674,0.765874127858568,0.900168857709525
"f",3,"Q1",71,28.1357484728441,0.95691202097394,4.30879790260598,0.916457040728943,0.999152797338002
"f",3,"Q2",68,30.4106844397323,0.898686090948243,10.1313909051757,0.859701903424304,0.939438062015347
"f",3,"Q3",68,33.1561204010616,0.848882317057297,15.1117682942703,0.811716828271886,0.887749475080734
"f",4,"Q1",57,27.8500761920163,0.9103229223662,8.96770776338002,0.867364137359654,0.955409368789388
"f",4,"Q2",53,29.7737170044479,1.00139106735605,-0.139106735604866,0.952636463954033,1.05264086325051
"f",4,"Q3",47,31.3258431313159,0.869630000854013,13.0369999145987,0.824645650096311,0.917068244156781
"f",4,"Q4",50,33.648097987868,0.821932588635724,17.8067411364276,0.779706159861915,0.866445867736976
"f",5,"Q1",44,27.5020723875044,0.904636142843089,9.53638571569109,0.855703489677815,0.956366966840522
"f",5,"Q2",40,29.3149782875,1.0373896045432,-3.73896045432021,0.980403590017454,1.09768793440989
"f",5,"Q3",42,30.3243460803889,0.848343316967146,15.1656683032854,0.801073070922366,0.898402916745365
"f",5,"Q4",40,31.8134801595627,0.909417813772214,9.0582186227786,0.859324630262586,0.962431112620981
"f",5,"Q5",41,33.9348490838263,0.816057528424575,18.3942471575425,0.769589036223153,0.865331830825776
"f",10,"Q1",24,26.8019802765512,0.996826773506965,0.317322649303531,0.924212666375076,1.07514607030612
"f",10,"Q2",20,28.3421829206481,0.807024147063926,19.2975852936074,0.74345830567584,0.876024881250341
"f",10,"Q3",21,29.0595292579274,0.995410018343589,0.458998165641089,0.920852755466727,1.07600384397675
"f",10,"Q4",19,29.5973166886065,1.08617615830217,-8.61761583021721,1.00054583518792,1.17913503347149
"f",10,"Q5",26,30.1065779857875,0.907332049111589,9.26679508884113,0.844267568960637,0.975107273584517
"f",10,"Q6",16,30.6782192341162,0.755318781770456,24.4681218229544,0.687078567715671,0.830336571248275
"f",10,"Q7",20,31.54359157736,1.02396059718229,-2.39605971822914,0.946311086254836,1.10798163501549
"f",10,"Q8",20,32.0833687417655,0.801312628075933,19.8687371924067,0.738630407067591,0.869314235874938
"f",10,"Q9",20,32.8874561403509,0.761972413435926,23.8027586564074,0.699619706826769,0.829882224831512
"f",10,"Q10",21,34.9323661728506,0.867561426689601,13.2438573310399,0.800337069902084,0.940432297071756
