sex,split,bin,cells,mean_control_weight_g,pooled_hr,lower_95_ci,upper_95_ci,hazard_reduction_pct,mean_cell_km_median_gain_pct
m,3,Q1,74,37.25080599874179,0.8897984931842259,0.8544347840419003,0.9266258505155766,11.020150681577412,4.116875530763472
m,3,Q2,74,41.314344650586364,0.8333287797485315,0.8003232566534447,0.867695458533802,16.667122025146853,4.44818344126854
m,3,Q3,71,43.47456792374883,0.7768452809779366,0.7454351609238228,0.8095789174068228,22.31547190220634,9.345338932081113
m,4,Q1,60,36.715601908252125,0.8827058558868607,0.8437799372037038,0.9234275356192186,11.729414411313932,4.895428268224629
m,4,Q2,55,40.513592122843484,0.8530030382889735,0.8141540736504586,0.8937057577661979,14.69969617110265,3.487442053731144
m,4,Q3,51,42.16576747741671,0.7970686074575175,0.7588484071822109,0.8372138084250029,20.29313925424825,7.914664412351845
m,4,Q4,53,43.75240845352225,0.7928935851953531,0.7560358569868354,0.831548175439102,20.710641480464687,7.700953472254588
f,3,Q1,71,28.135748472844107,0.9569120209739402,0.9164577681591751,0.9991520042693233,4.308797902605976,1.5779465724216506
f,3,Q2,68,30.410684439732254,0.8986860909482428,0.8597026040013497,0.9394372964613765,10.131390905175719,2.5048771452696346
f,3,Q3,68,33.156120401061614,0.8488823170572967,0.8117174960238668,0.88774874478174,15.111768294270334,4.144779599428129
f,4,Q1,57,27.850076192016296,0.9103229223661998,0.8673649078120018,0.9554085201299767,8.967707763380018,2.7251927824580147
f,4,Q2,53,29.773717004447875,1.0013910673560487,0.9526373376601703,1.0526398978266844,-0.13910673560486586,0.5000510669951398
f,4,Q3,47,31.325843131315896,0.8696300008540132,0.8246464549370367,0.9170673491139819,13.03699991459868,2.5424403283313244
f,4,Q4,50,33.64809798786804,0.821932588635724,0.7797069155011611,0.8664450280361997,17.806741136427597,5.257549493979272
