"compound","arms","unique_mice","lowest_control_median","lowest_treated_median","lowest_gain_pct","overall_control_median","overall_treated_median","overall_gain_pct","highest_control_median","highest_treated_median","highest_gain_pct"
"16alpha-hydroxyestradiol",1,452,891,1049,17.7328843995511,828,955,15.3381642512077,716,900,25.6983240223464
"Acarbose",3,789,942,1011,7.32484076433121,831,950,14.3200962695548,708,909,28.3898305084746
"17alpha-estradiol",4,1427,887,939,5.86245772266065,793,905,14.1235813366961,673,827,22.8826151560178
"Canagliflozin",2,836,891,945,6.06060606060606,810,915,12.962962962963,676,833,23.2248520710059
"Rapamycin",6,1293,898,958,6.6815144766147,810,887,9.50617283950617,696,777,11.6379310344828
"Meclizine",1,306,909,933,2.64026402640264,794,858,8.06045340050378,623,700.5,12.4398073836276
"Fisetin",1,311,857,794,-7.3512252042007,753,800,6.24169986719787,590,630,6.77966101694915
"Glycine",1,291,909,945,3.96039603960396,813,861,5.90405904059041,679,705,3.82916053019146
"MIF098",1,433,897,955,6.4659977703456,784,828,5.61224489795918,623,714.5,14.6869983948636
"Candesartan",1,434,897,917,2.22965440356745,784,823,4.97448979591837,623,773,24.0770465489567
"Geranylgeranylacetone",1,431,897,872,-2.78706800445931,784,817,4.20918367346939,623,747,19.9036918138042
"NDGA",1,150,983,1090,10.8850457782299,866,887.5,2.48267898383372,768,855,11.328125
"Dimethyl fumarate",1,306,909,861,-5.28052805280528,794,788,-0.755667506297229,623,697,11.8780096308186
"Pooled single-agent set",24,5523,898,945,5.23385300668151,807,888,10.0371747211896,674,815,20.919881305638
