cohort,site,id,mouse,arm,stratum,group,Tx,weight_age,entry,body_weight,weight_z_matched,matched_quartile,standardization_weight,comparison_reuse_count,lifespan_days,dead,mean_treatment_weight_effect_g
C2004,UM,UM00056,C2004|UM00056,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.400002,-0.7110277615135925,2,0.037037037037037035,1,838,1,-1.1769238713460823
C2004,UM,UM00063,C2004|UM00063,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,48.5,2.3173692556297474,4,0.037037037037037035,1,687,1,-1.1769238713460823
C2004,UM,UM00070,C2004|UM00070,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,35.299999,-0.3299717343948278,2,0.037037037037037035,1,1033,1,-1.1769238713460823
C2004,UM,UM00126,C2004|UM00126,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.400002,0.6928650813863456,3,0.038461538461538464,1,910,1,-1.1769238713460823
C2004,UM,UM00133,C2004|UM00133,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,41.299999,0.8733649880908334,4,0.037037037037037035,1,876,1,-1.1769238713460823
C2004,UM,UM00140,C2004|UM00140,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,38.799999,0.37197468705514125,3,0.038461538461538464,1,722,1,-1.1769238713460823
C2004,UM,UM00203,C2004|UM00203,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,31.6,-1.0720291793715315,1,0.038461538461538464,1,1305,1,-1.1769238713460823
C2004,UM,UM00210,C2004|UM00210,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.400002,-0.7110277615135925,2,0.037037037037037035,1,1134,1,-1.1769238713460823
C2004,UM,UM00217,C2004|UM00217,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,44.099998,1.4349219246946883,4,0.037037037037037035,1,435,1,-1.1769238713460823
C2004,UM,UM00350,C2004|UM00350,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,34.799999,-0.4302497946019663,2,0.037037037037037035,1,432,1,-1.1769238713460823
C2004,UM,UM00525,C2004|UM00525,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.099998,0.6326974430375807,3,0.038461538461538464,1,766,1,-1.1769238713460823
C2004,UM,UM00532,C2004|UM00532,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,43.599998,1.3346438644875498,4,0.037037037037037035,1,1004,1,-1.1769238713460823
C2004,UM,UM00539,C2004|UM00539,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,35.099998,-0.3700831590338037,2,0.037037037037037035,1,1083,1,-1.1769238713460823
C2004,UM,UM00623,C2004|UM00623,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,41.799999,0.9736430482979719,4,0.037037037037037035,1,507,1,-1.1769238713460823
C2004,UM,UM00630,C2004|UM00630,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,34.900002,-0.4101935808921771,2,0.037037037037037035,1,644,1,-1.1769238713460823
C2004,UM,UM00637,C2004|UM00637,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,44.599998,1.5351999849018265,4,0.037037037037037035,1,321,1,-1.1769238713460823
C2004,UM,UM00721,C2004|UM00721,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,31.9,-1.0118623432472489,1,0.038461538461538464,1,1121,1,-1.1769238713460823
C2004,UM,UM00728,C2004|UM00728,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.400002,0.6928650813863456,4,0.037037037037037035,1,970,1,-1.1769238713460823
C2004,UM,UM00735,C2004|UM00735,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.599998,0.1313071420018885,3,0.038461538461538464,1,893,1,-1.1769238713460823
C2004,UM,UM00742,C2004|UM00742,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,41.0,0.8131983525226708,4,0.037037037037037035,1,735,1,-1.1769238713460823
C2004,UM,UM00749,C2004|UM00749,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,45.900002,1.7959237436648685,4,0.037037037037037035,1,835,1,-1.1769238713460823
C2004,UM,UM00756,C2004|UM00756,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,44.099998,1.4349219246946883,4,0.037037037037037035,1,692,1,-1.1769238713460823
C2004,UM,UM00763,C2004|UM00763,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,38.900002,0.39203090076493036,3,0.038461538461538464,1,1209,1,-1.1769238713460823
C2004,UM,UM00770,C2004|UM00770,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,35.299999,-0.3299717343948278,2,0.037037037037037035,1,1011,1,-1.1769238713460823
C2004,UM,UM00777,C2004|UM00777,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,39.799999,0.5725308074694181,3,0.038461538461538464,1,728,1,-1.1769238713460823
C2004,UM,UM00924,C2004|UM00924,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,32.0,-0.991806731205821,1,0.038461538461538464,1,967,1,-1.1769238713460823
C2004,UM,UM00931,C2004|UM00931,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.299999,0.6728088676765566,3,0.038461538461538464,1,1103,1,-1.1769238713460823
C2004,UM,UM00938,C2004|UM00938,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,48.299999,2.2772578309907714,4,0.037037037037037035,1,668,1,-1.1769238713460823
C2004,UM,UM01071,C2004|UM01071,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,32.299999,-0.9316400956376585,1,0.038461538461538464,1,972,1,-1.1769238713460823
C2004,UM,UM01078,C2004|UM01078,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,32.299999,-0.9316400956376585,1,0.038461538461538464,1,765,1,-1.1769238713460823
C2004,UM,UM01085,C2004|UM01085,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,35.799999,-0.22969367418768938,2,0.037037037037037035,1,790,1,-1.1769238713460823
C2004,UM,UM01190,C2004|UM01190,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,30.200001,-1.3528075473953989,1,0.038461538461538464,1,1135,1,-1.1769238713460823
C2004,UM,UM01197,C2004|UM01197,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.200001,0.0510852955045392,2,0.037037037037037035,1,592,1,-1.1769238713460823
C2004,UM,UM01204,C2004|UM01204,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,36.700001,-0.04919276470259924,2,0.037037037037037035,1,717,1,-1.1769238713460823
C2004,UM,UM01211,C2004|UM01211,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,41.0,0.8131983525226708,4,0.037037037037037035,1,768,1,-1.1769238713460823
C2004,UM,UM01218,C2004|UM01218,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,29.0,-1.5934750924486516,1,0.038461538461538464,1,1115,1,-1.1769238713460823
C2004,UM,UM01225,C2004|UM01225,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,41.299999,0.8733649880908334,4,0.037037037037037035,1,912,1,-1.1769238713460823
C2004,UM,UM01351,C2004|UM01351,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,36.299999,-0.12941561398055093,2,0.037037037037037035,1,949,1,-1.1769238713460823
C2004,UM,UM01358,C2004|UM01358,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.599998,0.1313071420018885,3,0.038461538461538464,1,681,1,-1.1769238713460823
C2004,UM,UM01365,C2004|UM01365,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.5,0.7129202923155324,4,0.037037037037037035,1,1047,1,-1.1769238713460823
