cohort,group,weight_age,init,mean_diff_g
C2004,NDGA,6,9.0,-1.1769238713460823
C2006,Rapa,6,9.0,-1.6744129198826783
C2009,17aE2,6,10.0,-3.3047199313525315
C2009,Rapa_hi,6,9.0,-5.441764610730163
C2009,Rapa_mid,6,9.0,-2.109311759752074
C2011,17aE2,6,10.0,-5.383852798094122
C2011,MetRapa,6,9.0,-2.9207833393075395
C2013,ACA_hi,6,8.0,-7.541784466102933
C2013,ACA_lo,6,8.0,-2.756116791109381
C2013,ACA_mid,6,8.0,-6.1787789001562174
C2014,Gly,6,9.0,-2.046307183879845
C2015,rapa_hi_continuous,6,20.0,-4.4800254056434525
C2015,rapa_hi_cycle,6,20.0,-3.182729878600016
C2015,rapa_hi_start_stop,6,20.0,-3.866666564730173
C2016,17aE2_16m,6,16.0,-8.936835082340911
C2016,17aE2_20m,6,20.0,-7.661328976034859
C2016,CC,6,8.0,-1.9568636250717746
C2016,Cana,6,7.0,-4.881489569085665
C2016,GGA,6,9.0,-1.1994230514214987
C2016,MIF098,6,8.0,-1.3303406314220878
C2017,RaAc_16,6,16.0,-5.828743458706611
C2017,RaAc_9,6,9.0,-6.848411480692393
C2018,Fis_Cyc,6,20.0,-1.189918394283712
C2019,DMF_9,6,9.0,-1.2802605848951554
C2019,Mec,6,12.0,-1.5690106291451145
C2020,OH-EST,6,12.0,-8.07406043869582
C2020,Cana_16,6,16.0,-4.673772741890389
