cohort,site,id,mouse,group,Tx,entry,body_weight,lifespan_days,dead
C2005,TJL,JL01056,C2005|JL01056,Control,0,182.625,48.0,886,1
C2005,TJL,JL01057,C2005|JL01057,Control,0,182.625,41.0,552,1
C2005,TJL,JL01058,C2005|JL01058,Control,0,182.625,46.0,823,1
C2005,TJL,JL01059,C2005|JL01059,Control,0,182.625,42.0,242,1
C2005,TJL,JL01060,C2005|JL01060,Control,0,182.625,50.0,322,1
C2005,TJL,JL01061,C2005|JL01061,Control,0,182.625,44.0,1111,1
C2005,TJL,JL01112,C2005|JL01112,Control,0,182.625,49.0,538,1
C2005,TJL,JL01113,C2005|JL01113,Control,0,182.625,56.0,789,1
C2005,TJL,JL01114,C2005|JL01114,Control,0,182.625,45.0,287,1
C2005,TJL,JL01115,C2005|JL01115,Control,0,182.625,36.0,561,1
C2005,TJL,JL01116,C2005|JL01116,Control,0,182.625,38.0,724,1
C2005,TJL,JL01117,C2005|JL01117,Control,0,182.625,42.0,441,1
C2005,TJL,JL01118,C2005|JL01118,Control,0,182.625,40.0,937,1
C2005,TJL,JL01119,C2005|JL01119,Control,0,182.625,44.0,643,1
C2005,TJL,JL01120,C2005|JL01120,Control,0,182.625,47.0,774,1
C2005,TJL,JL01124,C2005|JL01124,Control,0,182.625,44.0,844,1
C2005,TJL,JL01125,C2005|JL01125,Control,0,182.625,38.0,985,1
C2005,TJL,JL01126,C2005|JL01126,Control,0,182.625,33.0,693,1
C2005,TJL,JL01146,C2005|JL01146,Control,0,182.625,39.0,1119,1
C2005,TJL,JL01147,C2005|JL01147,Control,0,182.625,44.0,697,1
C2005,TJL,JL01148,C2005|JL01148,Control,0,182.625,44.0,893,1
C2005,TJL,JL01189,C2005|JL01189,Control,0,182.625,47.0,608,1
C2005,TJL,JL01190,C2005|JL01190,Control,0,182.625,51.0,557,1
C2005,TJL,JL01191,C2005|JL01191,Control,0,182.625,46.0,307,1
C2005,TJL,JL01223,C2005|JL01223,Control,0,182.625,39.0,876,1
C2005,TJL,JL01224,C2005|JL01224,Control,0,182.625,44.0,622,1
C2005,TJL,JL01225,C2005|JL01225,Control,0,182.625,43.0,763,1
C2005,TJL,JL01263,C2005|JL01263,Control,0,182.625,49.0,923,1
C2005,TJL,JL01264,C2005|JL01264,Control,0,182.625,49.0,463,1
C2005,TJL,JL01265,C2005|JL01265,Control,0,182.625,45.0,692,1
C2005,TJL,JL01266,C2005|JL01266,Control,0,182.625,40.0,1029,1
C2005,TJL,JL01267,C2005|JL01267,Control,0,182.625,40.0,944,1
C2005,TJL,JL01268,C2005|JL01268,Control,0,182.625,46.0,756,1
C2005,TJL,JL01278,C2005|JL01278,Control,0,182.625,44.0,972,1
C2005,TJL,JL01279,C2005|JL01279,Control,0,182.625,39.0,958,1
C2005,TJL,JL01280,C2005|JL01280,Control,0,182.625,45.0,940,1
C2005,TJL,JL01337,C2005|JL01337,Control,0,182.625,35.0,856,1
C2005,TJL,JL01338,C2005|JL01338,Control,0,182.625,40.0,575,1
C2005,TJL,JL01339,C2005|JL01339,Control,0,182.625,37.0,804,1
C2005,TJL,JL01343,C2005|JL01343,Control,0,182.625,38.0,1001,1
C2005,TJL,JL01344,C2005|JL01344,Control,0,182.625,40.0,674,1
C2005,TJL,JL01345,C2005|JL01345,Control,0,182.625,33.0,1064,1
C2005,TJL,JL01350,C2005|JL01350,Control,0,182.625,32.0,1220,1
C2005,TJL,JL01351,C2005|JL01351,Control,0,182.625,37.0,794,1
C2005,TJL,JL01352,C2005|JL01352,Control,0,182.625,37.0,1035,1
C2005,TJL,JL01384,C2005|JL01384,Control,0,182.625,47.0,469,1
C2005,TJL,JL01385,C2005|JL01385,Control,0,182.625,33.0,866,1
C2005,TJL,JL01386,C2005|JL01386,Control,0,182.625,45.0,357,1
C2005,TJL,JL01387,C2005|JL01387,Control,0,182.625,39.0,769,1
C2005,TJL,JL01388,C2005|JL01388,Control,0,182.625,45.0,894,1
C2005,TJL,JL01389,C2005|JL01389,Control,0,182.625,38.0,810,1
C2005,TJL,JL01393,C2005|JL01393,Control,0,182.625,43.0,338,1
C2005,TJL,JL01394,C2005|JL01394,Control,0,182.625,45.0,1006,1
C2005,TJL,JL01395,C2005|JL01395,Control,0,182.625,45.0,545,1
C2005,TJL,JL01399,C2005|JL01399,Control,0,182.625,41.0,1084,1
C2005,TJL,JL01400,C2005|JL01400,Control,0,182.625,35.0,1124,1
C2005,TJL,JL01401,C2005|JL01401,Control,0,182.625,41.0,849,1
C2005,TJL,JL01454,C2005|JL01454,Control,0,182.625,34.0,857,1
C2005,TJL,JL01455,C2005|JL01455,Control,0,182.625,30.0,892,1
C2005,TJL,JL01456,C2005|JL01456,Control,0,182.625,31.0,893,1
C2005,TJL,JL01457,C2005|JL01457,Control,0,182.625,44.0,502,1
C2005,TJL,JL01458,C2005|JL01458,Control,0,182.625,39.0,752,1
C2005,TJL,JL01459,C2005|JL01459,Control,0,182.625,42.0,998,1
C2005,TJL,JL01474,C2005|JL01474,Control,0,182.625,42.0,1077,1
C2005,TJL,JL01475,C2005|JL01475,Control,0,182.625,39.0,671,1
C2005,TJL,JL01476,C2005|JL01476,Control,0,182.625,34.0,793,1
C2005,TJL,JL01477,C2005|JL01477,Control,0,182.625,32.0,1116,1
C2005,TJL,JL01478,C2005|JL01478,Control,0,182.625,32.0,983,1
C2005,TJL,JL01479,C2005|JL01479,Control,0,182.625,35.0,1091,1
C2005,TJL,JL01522,C2005|JL01522,Control,0,182.625,43.0,548,1
C2005,TJL,JL01523,C2005|JL01523,Control,0,182.625,42.0,730,1
C2005,TJL,JL01524,C2005|JL01524,Control,0,182.625,43.0,850,1
C2005,TJL,JL01536,C2005|JL01536,Control,0,182.625,43.0,946,1
C2005,TJL,JL01537,C2005|JL01537,Control,0,182.625,39.0,870,1
C2005,TJL,JL01538,C2005|JL01538,Control,0,182.625,42.0,1027,1
C2005,TJL,JL01542,C2005|JL01542,Control,0,182.625,41.0,1056,1
C2005,TJL,JL01543,C2005|JL01543,Control,0,182.625,40.0,908,1
C2005,TJL,JL01544,C2005|JL01544,Control,0,182.625,42.0,859,1
C2005,TJL,JL01556,C2005|JL01556,Control,0,182.625,40.0,889,1
C2005,TJL,JL01557,C2005|JL01557,Control,0,182.625,37.0,969,1
C2005,TJL,JL01558,C2005|JL01558,Control,0,182.625,36.0,569,1
C2005,TJL,JL01594,C2005|JL01594,Control,0,182.625,48.0,344,1
C2005,TJL,JL01595,C2005|JL01595,Control,0,182.625,47.0,604,1
C2005,TJL,JL01596,C2005|JL01596,Control,0,182.625,48.0,470,1
C2005,TJL,JL01598,C2005|JL01598,Control,0,182.625,44.0,801,1
C2005,TJL,JL01624,C2005|JL01624,Control,0,182.625,37.0,850,1
C2005,TJL,JL01625,C2005|JL01625,Control,0,182.625,46.0,797,1
C2005,TJL,JL01626,C2005|JL01626,Control,0,182.625,42.0,901,1
C2005,TJL,JL01652,C2005|JL01652,Control,0,182.625,38.0,1027,1
C2005,TJL,JL01653,C2005|JL01653,Control,0,182.625,39.0,559,1
C2005,TJL,JL01654,C2005|JL01654,Control,0,182.625,40.0,776,1
C2005,TJL,JL01679,C2005|JL01679,Control,0,182.625,43.0,1022,1
C2005,TJL,JL01680,C2005|JL01680,Control,0,182.625,39.0,1029,1
C2005,TJL,JL01681,C2005|JL01681,Control,0,182.625,36.0,815,1
C2005,TJL,JL01701,C2005|JL01701,Control,0,182.625,38.0,1022,1
C2005,TJL,JL01702,C2005|JL01702,Control,0,182.625,44.0,288,1
C2005,TJL,JL01703,C2005|JL01703,Control,0,182.625,40.0,936,1
C2005,TJL,JL01747,C2005|JL01747,Control,0,182.625,39.0,575,1
C2005,TJL,JL01748,C2005|JL01748,Control,0,182.625,42.0,736,1
C2005,TJL,JL01749,C2005|JL01749,Control,0,182.625,47.0,811,1
C2005,TJL,JL01779,C2005|JL01779,Control,0,182.625,33.0,817,1
C2005,TJL,JL01780,C2005|JL01780,Control,0,182.625,30.0,724,1
