cohort,sex,group,nsite,n,rho
C2004,f,4-OH-PBN,1,37,-0.01773533577160676
C2004,f,Aspirin,1,43,0.40187340509208563
C2004,f,Control,1,82,0.051920272231818165
C2004,f,NDGA,1,20,0.2027900010305841
C2004,f,NFP,1,40,-0.031207471055997957
C2004,m,4-OH-PBN,1,57,-0.4765732673096674
C2004,m,Aspirin,1,57,-0.24647499322480348
C2004,m,Control,1,106,-0.3696475904360938
C2004,m,NDGA,1,44,-0.4743409100851298
C2004,m,NFP,1,57,-0.2788232442903358
C2005,f,CAPE_hi,3,123,-0.113007698398997
C2005,f,CAPE_lo,3,127,-0.06409992827231055
C2005,f,Control,3,264,-0.040318451537775545
C2005,f,Enal,3,125,-0.20473237604965638
C2005,f,Rapa,3,126,-0.0403145355399027
C2005,m,CAPE_hi,3,154,-0.31687042783832725
C2005,m,CAPE_lo,3,159,-0.43840308694562286
C2005,m,Control,3,323,-0.38785072122663206
C2005,m,Enal,3,153,-0.23574305569937998
C2005,m,Rapa,3,149,-0.2841019347021968
C2006,f,Control,2,146,0.005487459285511761
C2006,f,Rapa,2,77,-0.18821165730130085
C2006,f,Res_hi,2,88,-0.08261956715022316
C2006,f,Res_lo,2,95,-0.18652638069082256
C2006,f,Sim_hi,2,84,-0.007889978071709235
C2006,f,Sim_lo,2,82,-0.18200229064717893
C2006,m,Control,2,182,-0.3081243584800912
C2006,m,Rapa,2,90,-0.08514081998999934
C2006,m,Res_hi,2,91,-0.30956287954819034
C2006,m,Res_lo,2,95,-0.1119445531003222
C2006,m,Sim_hi,2,102,-0.2884004738803472
C2006,m,Sim_lo,2,101,-0.20683054883724256
C2007,f,Control,2,174,-0.01451310750453506
C2007,f,Cur,2,87,-0.1789572200438654
C2007,f,GTE,2,81,-0.1661493098012851
C2007,f,MCTO,2,87,-0.3905031636668574
C2007,f,OAA,2,86,-0.17657454490195074
C2007,f,Res,2,86,-0.1615943275171949
C2007,m,Control,2,171,-0.25748471966875436
C2007,m,Cur,2,96,-0.338022619782402
C2007,m,GTE,2,97,-0.11981449708097003
C2007,m,MCTO,2,102,-0.1144252585521999
C2007,m,OAA,2,99,-0.24073275693284346
C2007,m,Res,2,102,-0.25362819632033723
C2009,f,17aE2,3,133,-0.008897693904644883
C2009,f,ACA,3,132,-0.18334621310900245
C2009,f,Control,3,241,-0.17551552732135356
C2009,f,MB,3,135,-0.18165736065496238
C2009,f,Rapa_hi,3,120,-0.12834312423323546
C2009,f,Rapa_lo,3,114,0.04138324020283334
C2009,f,Rapa_mid,3,115,0.0922737531876973
C2009,m,17aE2,3,143,-0.22392466646460538
C2009,m,ACA,3,150,-0.07708736664495319
C2009,m,Control,3,293,-0.3182533474849694
C2009,m,MB,3,146,-0.15767163233523307
C2009,m,Rapa_hi,3,120,-0.07254534466908694
C2009,m,Rapa_lo,3,149,-0.450497697080726
C2009,m,Rapa_mid,3,139,-0.1955587538412392
C2010,f,Control,3,263,-0.003761384417388463
C2010,f,FO_hi,3,135,-0.056734337188457405
C2010,f,FO_lo,3,131,0.026794131733577427
C2010,f,ND_hi,3,124,-0.1671692640375138
C2010,m,Control,3,273,-0.20550096751103847
C2010,m,FO_hi,3,145,-0.1826896760015127
C2010,m,FO_lo,3,140,-0.2911921256907205
C2010,m,ND_hi,3,134,-0.08184093526884284
C2010,m,ND_lo,3,132,-0.3174338630054347
C2010,m,ND_mid,3,133,-0.08358286744521903
C2011,f,17aE2,3,114,-0.18087906890729882
C2011,f,Control,3,269,0.003471701493192895
C2011,f,Met,3,124,-0.10913832525455411
C2011,f,MetRapa,3,137,-0.11452298753392923
C2011,f,Prot,3,114,-0.22172840983573516
C2011,f,UDCA,3,133,0.0937637493801896
C2011,m,17aE2,3,126,-0.18943923653780992
C2011,m,Control,3,253,-0.3846151942657947
C2011,m,Met,3,133,-0.29695687279703825
C2011,m,MetRapa,3,152,-0.23037528314034872
C2011,m,Prot,3,144,-0.29644707539632675
C2011,m,UDCA,3,147,-0.22129012299012402
C2013,f,ACA_hi,3,151,0.08172145619088182
C2013,f,ACA_lo,3,138,-0.0322093362442917
C2013,f,ACA_mid,3,141,-0.010496717378254491
C2013,f,Control,3,283,-0.04086536870971975
C2013,m,ACA_hi,3,160,-0.1978794668700215
C2013,m,ACA_lo,3,147,-0.2798451211433795
C2013,m,ACA_mid,3,158,-0.16422546973522587
C2013,m,Control,3,269,-0.3214932781861474
C2014,f,Asp_200,2,92,-0.16487192609966864
C2014,f,Asp_60,2,91,-0.21151368849381985
C2014,f,Control,2,188,-0.046763486307653215
C2014,f,Gly,2,87,0.14173263683526124
C2014,f,Inu,2,91,-0.017934911877253518
C2014,f,TM,2,92,-0.01648557087543273
C2014,m,Asp_200,2,99,-0.22966966550876644
C2014,m,Asp_60,2,103,-0.12635067098188327
C2014,m,Control,2,188,-0.28907178167665754
C2014,m,Gly,2,103,-0.27220979985358057
C2014,m,Inu,2,102,-0.22885862309348018
C2014,m,TM,2,99,-0.4041873656231302
C2015,f,Control,2,183,0.027770125215927827
C2015,f,DMAG,2,89,-0.15166421693147483
C2015,f,Min,2,91,-0.10289133014744502
C2015,f,MitoQ,2,92,-0.037279323530068215
C2015,f,bGPA,2,92,-0.057626778984277455
C2015,f,rapa_hi_continuous,2,91,-0.1819131191761577
C2015,f,rapa_hi_cycle,2,89,-0.06657187226347581
C2015,f,rapa_hi_start_stop,2,90,-0.050240385160824234
C2015,m,Control,2,182,-0.3255955769328845
C2015,m,DMAG,2,104,-0.3628683221917898
C2015,m,Min,2,105,-0.24810041383472778
C2015,m,MitoQ,2,97,-0.3079810057110201
C2015,m,bGPA,2,99,-0.1575537748798451
C2015,m,rapa_hi_continuous,2,98,-0.2992202179334928
C2015,m,rapa_hi_cycle,2,99,-0.5647547862417353
C2015,m,rapa_hi_start_stop,2,91,-0.20398555380982414
C2016,f,CC,3,132,-0.21151178801947176
C2016,f,Cana,3,136,-0.05443866155914724
C2016,f,Control,3,302,-0.14637472694417006
C2016,f,GGA,3,136,-0.1783982672307132
C2016,f,MIF098,3,136,-0.04829875736888446
C2016,f,NR,3,133,-0.17588540037857492
C2016,m,17aE2_16m,3,151,-0.09683068670732264
C2016,m,17aE2_20m,3,143,-0.3500820320757513
C2016,m,CC,3,136,-0.31751564450838743
C2016,m,Cana,3,145,-0.20011638284393293
C2016,m,Control,3,275,-0.35895467523030866
C2016,m,GGA,3,134,-0.3355941837956201
C2016,m,MIF098,3,145,-0.5115357312790502
C2016,m,NR,3,145,-0.3199530727216071
C2017,f,BD,2,91,-0.24465248535157164
C2017,f,Capt,2,88,-0.049162426650452146
C2017,f,Control,2,186,-0.06670513109718419
C2017,f,Leu,2,92,-0.20578114440624157
C2017,f,PB125,2,83,-0.28311809086983
C2017,f,RaAc_16,2,91,-0.015312518978328684
C2017,f,RaAc_9,2,90,-0.0002231244957023643
C2017,f,Sul,2,92,-0.16360474399060834
C2017,f,Syr,2,92,-0.06542126527035358
C2017,m,BD,2,102,-0.29890603330785537
C2017,m,Capt,2,105,-0.27728573088691144
C2017,m,Control,2,193,-0.39938778198705266
C2017,m,Leu,2,101,-0.3289599161722359
C2017,m,PB125,2,102,-0.22665497533022286
C2017,m,RaAc_16,2,105,-0.3781403510317753
C2017,m,RaAc_9,2,103,-0.2473763531209903
C2017,m,Sul,2,99,-0.5353397360624678
C2017,m,Syr,2,104,-0.3408537993370588
C2018,f,Control,2,190,-0.05542741344767249
C2018,f,Fis_Cyc,2,92,0.004852994769096691
C2018,f,Fis_On,2,96,-0.23819338562129933
C2018,f,SG1002,2,91,-0.25403223992844676
C2018,m,Control,2,208,-0.2970586786960212
C2018,m,Fis_Cyc,2,103,-0.0904799058609939
C2018,m,Fis_On,2,97,-0.40051528652906565
C2018,m,SG1002,2,105,-0.2443872979869046
C2019,f,Asta,2,88,0.05142139820152248
C2019,f,Control,2,192,-0.06616537941116701
C2019,f,DMF_16,2,90,-0.10333674090108873
C2019,f,DMF_9,2,91,-0.18959292359083169
C2019,f,MPA,2,91,0.07692101471540243
C2019,f,Mec,2,91,-0.20743517865817718
C2019,f,PBA,2,92,-0.0536128850346225
C2019,f,SG1002,2,92,-0.14061626337309988
C2019,m,Asta,2,105,-0.27974984749172327
C2019,m,Control,2,204,-0.3591375584513515
C2019,m,DMF_16,2,100,-0.3666012746976143
C2019,m,DMF_9,2,102,-0.3973779404007729
C2019,m,MPA,2,99,-0.37390327083765457
C2019,m,Mec,2,102,-0.3930437794808511
C2019,m,PBA,2,104,-0.3466851185224379
C2019,m,SG1002,2,102,-0.39437135061729056
C2020,f,AKG_18,3,131,-0.07243871414909454
C2020,f,Cana_16,2,90,-0.05140068695914995
C2020,f,Cana_6,1,44,-0.08637862755845661
C2020,f,Control,3,271,-0.22419771560176108
C2020,f,DNP,3,131,-0.0712845949290331
C2020,f,HYD_16,3,131,0.004861729514285214
C2020,f,HYD_6,3,131,-0.055234684297747354
C2020,f,NEBI,3,129,-0.261530620843503
C2020,f,OH-EST,3,129,0.06276772825074951
C2020,f,THIO,3,129,0.0597009133687504
C2020,m,AKG_18,3,140,-0.41050156070391397
C2020,m,Cana_16,2,99,-0.13741590303127046
C2020,m,Cana_6,1,49,0.11401359597499368
C2020,m,Control,3,292,-0.289993304795298
C2020,m,DNP,3,136,-0.2462404555139723
C2020,m,HYD_16,3,148,-0.3593461214953102
C2020,m,HYD_6,3,148,-0.2729601144038421
C2020,m,NEBI,3,145,-0.3896045973805066
C2020,m,OH-EST,3,146,-0.2626488181944329
C2020,m,THIO,3,147,-0.37455063865922816
C2021,f,2BA,3,143,-0.12897619838726546
C2021,f,Control,3,285,-0.045162253370433336
C2021,f,DCA,3,142,-0.1097933558597444
C2021,f,Epi,3,143,-0.10463687559320459
