"analysis","landmark","sex","arms","rows","unique_mice","HR","lo","hi","p","drop_cohort"
"drop none",12,"m",21,7843,4983,0.913232728829829,0.858160277597048,0.971839455609923,0.0042349397581322,"none"
"drop C2004",12,"m",19,7525,4768,0.910039940316508,0.853494640744482,0.970331450762103,0.00397416925985263,"C2004"
"drop C2006",12,"m",20,7543,4683,0.912456683967195,0.856128379876007,0.972491065226679,0.00483214201444187,"C2006"
"drop C2009",12,"m",17,6230,4186,0.932107834183199,0.871090255894855,0.997399533132381,0.0418124917471792,"C2009"
"drop C2010",12,"m",18,6607,4281,0.924727381006463,0.864680345637276,0.988944334744698,0.0223394106769502,"C2010"
"drop C2011",12,"m",19,6995,4414,0.917252784411329,0.858186391896416,0.980384539366931,0.0109797253913981,"C2011"
"drop C2013",12,"m",18,6525,4227,0.908056785567238,0.848755083707176,0.971501840334406,0.00512497719928712,"C2013"
"drop C2014",12,"m",20,7574,4714,0.911484785979013,0.855291649664196,0.971369842553002,0.00430728561020837,"C2014"
"drop C2016",12,"m",20,7435,4575,0.916919668773629,0.859620627678693,0.978038045985783,0.0084259242188615,"C2016"
"drop C2017",12,"m",20,7595,4735,0.915376194339721,0.858723003034088,0.97576701008743,0.00667608680214887,"C2017"
"drop C2021",12,"m",18,6558,4264,0.885557321709455,0.827928151520879,0.94719785598865,0.000400010268124978,"C2021"
