analysis,arms,studies,estimate,ci_low,ci_high,p_normal
slope_ITP_Female,25,12,0.46018715816141165,0.16634762219828836,0.7540266941245349,0.002143934652829914
median_ratio_ITP_Female,25,12,0.4,,,
slope_ITP_Male,31,13,1.0335517693315859,0.747245464572424,1.3198580740907477,1.490460098785463e-12
median_ratio_ITP_Male,31,13,1.2666666666666666,,,
slope_dietary restriction_Female,15,7,0.793938099905859,0.6175084559063656,0.9703677439053523,1.1457204968838694e-18
median_ratio_dietary restriction_Female,15,7,0.6666666666666666,,,
slope_dietary restriction_Male,12,8,0.80920081909731,0.6798707904791976,0.9385308477154224,1.4268855485337215e-34
median_ratio_dietary restriction_Male,12,8,0.7419438669438669,,,
slope_non-ITP pharmacological_Female,22,15,0.9313482216708023,0.5498574885087252,1.3128389548328796,1.710413143239543e-06
median_ratio_non-ITP pharmacological_Female,22,15,1.0,,,
slope_non-ITP pharmacological_Male,29,23,0.7883561643835616,0.40081072121362354,1.1759016075534996,6.690965569356768e-05
median_ratio_non-ITP pharmacological_Male,29,23,1.2857142857142858,,,
female_minus_male_ITP,56,15,-0.5733646111701745,-0.9848732096151329,-0.16185601272521605,0.006316854664326727
female_minus_male_non-ITP pharmacological,51,30,0.14299205728724063,-0.3094642878505765,0.5954484024250577,0.5356414949468529
female_minus_male_dietary restriction,27,11,-0.015262719191451354,-0.2575216449412601,0.2269962065583574,0.9017262009326253
pharmacological_sex_by_source,107,45,0.7163566684574149,0.11018413738094768,1.3225291995338821,0.0205458698800053
pharmacological_sex_by_source_weight_loss_ge_5pct,84,42,0.6695736985129267,0.11624973255573923,1.2228976644701142,0.017704565832104596
bodyfat_Pearson_r,36,14,-0.09522034842245311,-0.41090172947423387,0.24084996833003164,0.5806627436779794
bodyfat_Spearman_rho,36,14,0.07511921622691894,,,0.663254035012811
bodyfat_study_level_r,36,14,-0.21156633848655126,-0.6672456710739214,0.3593513452877415,0.46778551965070675
bodyfat_leave_one_study_out_24341993,34,13,-0.21352045952881407,-0.6840317303403104,0.38245997108903623,0.4836579068008619
bodyfat_leave_one_study_out_24582957,35,13,-0.18911068107641074,-0.6702570693670781,0.40396683654036997,0.5360683226070112
bodyfat_leave_one_study_out_27304509,34,13,-0.39388373869021515,-0.7763765740913042,0.2006467549380519,0.18296610855520662
bodyfat_leave_one_study_out_29167747,34,13,-0.15624835006973475,-0.6511737495418387,0.43192129103556776,0.6102291660698173
bodyfat_leave_one_study_out_30688027,34,13,-0.2424950260850513,-0.699958091003421,0.35606447618373427,0.4247232367728104
bodyfat_leave_one_study_out_32990681,34,13,-0.20953721580340567,-0.6818066292442035,0.3860141651168413,0.492043864480128
bodyfat_leave_one_study_out_35263032,34,13,-0.22978619384658455,-0.6930280370613101,0.36776087721705747,0.4501174449732069
bodyfat_leave_one_study_out_35511946,34,13,-0.059189044958284635,-0.5909036243850333,0.508375549883145,0.8476855692509563
bodyfat_leave_one_study_out_37437544,32,13,-0.16644071320894666,-0.6571602255239242,0.4233703542284164,0.5868143210490164
bodyfat_leave_one_study_out_37939658,34,13,-0.14975874809104123,-0.6473297228210224,0.43731123308174474,0.6253194291576568
bodyfat_leave_one_study_out_38446314,35,13,-0.2475427881982276,-0.7026869095488381,0.35136620748549396,0.414840435138317
bodyfat_leave_one_study_out_39385029,32,13,-0.21950734413286066,-0.6873597063258576,0.37708457228605435,0.4711799326806612
bodyfat_leave_one_study_out_40437307,30,13,-0.2728763515088678,-0.7161829342201571,0.3273221110895787,0.36704324401905974
bodyfat_leave_one_study_out_42230994,32,13,-0.20117323988233363,-0.6771057696676416,0.3934201251468106,0.5098668507607188
bodyfat_study_clustered_slope,36,14,-0.16535263721163565,-0.7351158112873505,0.40441053686407924,0.5694872047789687
