cohort,group,sex,weight_age,within_arm,n,int_hr,int_lo,int_hi,int_p,coef,se
C2004,4-OH-PBN,m,12,True,158,0.9431810075115554,0.6894782366992235,1.2902371178375365,0.7144224820229226,-0.05849706618779868,0.15986165175410627
C2004,4-OH-PBN,f,12,True,119,0.982313267284902,0.6914403040446762,1.3955497668264236,0.9206558126514937,-0.01784501204527479,0.17915301022646565
C2004,Aspirin,m,12,True,158,1.05792734077903,0.7500103975259401,1.4922596567457322,0.7483177291103631,0.05631165506554334,0.17550315564916952
C2004,Aspirin,f,12,True,124,0.6146698747042424,0.41985374141521714,0.8998825486118092,0.01233604676071028,-0.4866699443972584,0.1944826138069991
C2004,NDGA,m,6,True,150,0.9132943804847505,0.666891099124177,1.2507388785372155,0.5718377979603237,-0.09069701828191745,0.1604271814551856
C2004,NDGA,f,6,True,102,0.7243793691286236,0.381948582574674,1.373811801792967,0.32344201017500274,-0.3224400333223611,0.3265515344929809
C2004,NFP,m,12,True,158,0.8694098773656678,0.6060885737164761,1.2471337814967252,0.44712330970722136,-0.13994059936285005,0.18407916973374558
C2004,NFP,f,12,True,122,1.0586684578273065,0.6858222761476336,1.6342118688445497,0.7968851408879467,0.05701194661771589,0.22150851114341233
C2005,CAPE_hi,m,12,True,284,0.8257317822710395,0.6386655781883841,1.0675899869013927,0.1440268038263653,-0.19148527699391873,0.13106824332039757
C2005,CAPE_hi,f,12,True,250,0.9523890827546765,0.7259105618855383,1.2495271629527787,0.7247671591068106,-0.0487816273134608,0.1385468506410392
C2005,CAPE_lo,m,12,True,290,1.06679970587186,0.8259663381318342,1.3778547138159989,0.6203664924881498,0.06466323761501669,0.1305455094031583
C2005,CAPE_lo,f,12,True,246,0.9672435286824159,0.722741192347798,1.2944606640433478,0.8227488842655764,-0.03330497585303412,0.14867574654982668
C2005,Enal,m,12,True,281,0.8477343750432597,0.640406228079181,1.1221839187690261,0.24834497073593562,-0.16518792923647121,0.1430968352414919
C2005,Enal,f,12,True,239,1.1426071229627524,0.8563906964342549,1.5244806405313927,0.3648426423468756,0.133312601283851,0.14711555388721548
C2005,Rapa,m,6,True,472,0.8801835021762212,0.7195108451101105,1.0767356778126647,0.21459537596748957,-0.12762486804799114,0.10283801804003337
C2005,Rapa,f,6,True,390,1.0197783874450317,0.8115178375756347,1.281485028852572,0.8665502160612757,0.019585336479486782,0.11655022722746149
C2006,Rapa,m,6,True,272,0.8778309521897057,0.678039217368987,1.1364935255698259,0.32270563957257253,-0.13030124125407486,0.13176206847187383
C2006,Rapa,f,6,True,223,1.2882379329659732,0.963732124668885,1.7220106391105587,0.08717730350990524,0.2532753411852161,0.1480727428849233
C2006,Res_hi,m,6,True,273,1.068555915556494,0.8246977348842379,1.3845214996632098,0.6158842000330536,0.06630812529834718,0.13216899345186767
C2006,Res_hi,f,6,True,234,1.0942397543546294,0.8292565504308784,1.4438965111435489,0.5243993854611744,0.09005983387814176,0.14147481179667623
C2006,Res_lo,m,6,True,277,0.8471591488551521,0.6738313330255741,1.0650716111204457,0.1555538222125368,-0.16586670486701355,0.11679232070698546
C2006,Res_lo,f,6,True,241,1.260079269774289,0.9729764810476182,1.6318994313257174,0.0797210791677176,0.23117463150375417,0.13192589364742033
C2006,Sim_hi,m,6,True,284,1.14116086616113,0.8790276118563964,1.4814644100967835,0.32136883885788126,0.13204604793706184,0.1331580676890486
C2006,Sim_hi,f,6,True,230,1.0852867361091707,0.8264971592319715,1.425107499061485,0.555944137722395,0.08184422499016603,0.13898368846147893
C2006,Sim_lo,m,6,True,283,0.9707317470695592,0.7521536522085345,1.2528292882734826,0.8194756592686323,-0.029705113462863197,0.13016031912207157
C2006,Sim_lo,f,6,True,228,1.1705777390444512,0.9082579583490304,1.5086597706637999,0.22374394554262933,0.1574974209885862,0.1294535351772249
C2007,Cur,m,12,True,257,1.0503065733227548,0.7972789837180627,1.383635992536191,0.7270802584351829,0.04908209614624524,0.14063152050579056
C2007,Cur,f,12,True,263,1.2461742535350133,0.9482117661444661,1.637767348625102,0.11444123405420278,0.22007826093624092,0.13941872542346573
C2007,GTE,m,12,True,263,0.9687093272803521,0.7462495152823471,1.2574852533135716,0.8112470520469822,-0.0317906839388267,0.13311702762529562
C2007,GTE,f,12,True,260,1.1315134933111564,0.8707235270981102,1.4704125313027792,0.3553081869689698,0.1235561111738254,0.13366923364532105
C2007,MCTO,m,12,True,267,1.0529145684246997,0.8080931860401607,1.3719074823950748,0.7025528035679349,0.05156209826001705,0.13502288725751502
C2007,MCTO,f,12,True,262,1.3862832891122778,1.0681536584041063,1.7991618926280948,0.014062874288335938,0.32662627318114873,0.13300992780390986
C2007,OAA,m,12,True,264,1.0787058622275945,0.8101644554810209,1.436259427739652,0.6039762658112722,0.07576204691455658,0.1460639428267032
C2007,OAA,f,12,True,265,1.2359026378381008,0.9434040855989785,1.6190891618254721,0.12425891554184139,0.21180158395717738,0.1377893489427114
C2007,Res,m,12,True,267,0.7909717667619532,0.611625783723923,1.0229070658292045,0.07388362058988397,-0.23449300494637265,0.13119712661854685
C2007,Res,f,12,True,262,1.2551659758047957,0.9738275611453856,1.6177829522148868,0.07923416864083457,0.2272678154765579,0.1294864856890118
C2009,17aE2,m,6,True,436,0.8367690410323539,0.6742753683475178,1.038422076348687,0.10572442325950197,-0.17820718321014065,0.1101599374380851
C2009,17aE2,f,6,True,374,0.9404770605120787,0.7504216685379373,1.1786667928615717,0.5941767743342652,-0.06136802127526931,0.1151817003930005
C2009,ACA,m,12,True,422,0.8035505552642764,0.6520312585584457,0.9902799695417508,0.04020995972526233,-0.21871517697332576,0.10660787662692567
C2009,ACA,f,12,True,372,1.1630564729239707,0.923635720544057,1.4645388101854209,0.19897874889693654,0.1510514303318066,0.11759856765711352
C2009,MB,m,12,True,407,0.8629057623157786,0.6887855865901,1.0810422998599913,0.19974158380149132,-0.14744979164131503,0.11498959246997073
C2009,MB,f,12,True,376,0.995487832390784,0.7960479306048354,1.2448949194367545,0.9683756985711699,-0.004522378163548135,0.11407020956652897
C2009,Rapa_hi,m,6,True,413,0.7574324706674631,0.5975210551769893,0.9601401367379144,0.021667603735167844,-0.27782089320621145,0.12099450075193209
C2009,Rapa_hi,f,6,True,361,1.0104882317340511,0.8084562893333503,1.2630076355952315,0.9269553022431853,0.010433611810597517,0.11380937552980258
C2009,Rapa_lo,m,6,True,442,1.229054032571503,0.9903763643896815,1.5252522872061498,0.0611813488898613,0.20624479428103024,0.11016275708750879
C2009,Rapa_lo,f,6,True,355,0.8490340257062954,0.6635296862856749,1.08640018933031,0.19321679986858045,-0.16365601608129288,0.12578071338108673
C2009,Rapa_mid,m,6,True,432,0.9596461010962895,0.7828733551624967,1.17633412004188,0.6917093001756474,-0.041190707177778584,0.10387621078182453
C2009,Rapa_mid,f,6,True,356,0.7852794562552405,0.6194250304757263,0.9955423079091922,0.04583904586365389,-0.2417156293213899,0.12104710799137818
C2010,FO_hi,m,6,True,450,0.9001472147855367,0.7400818697596071,1.094831587415253,0.2923235017884118,-0.10519695705033487,0.09989852292558019
C2010,FO_hi,f,6,True,414,1.0331433870903832,0.8359789682117481,1.276808746243754,0.7628115409242611,0.032605986981427484,0.10804168469782603
C2010,FO_lo,m,6,True,451,1.0244325347860448,0.8372290343111606,1.2534945341349961,0.8146353747016608,0.02413883468470702,0.10295926100228885
C2010,FO_lo,f,6,True,410,0.9837323026300921,0.7908737085943616,1.2236204500436247,0.8828838631128935,-0.01640146911491541,0.11133649240744845
C2010,ND_hi,m,12,True,419,0.8538597062403911,0.6784871953388962,1.0745617646870431,0.1780159791418671,-0.15798837709577893,0.11729873437285716
C2010,ND_hi,f,12,True,407,1.0262475645129412,0.8124197514745324,1.2963545774917788,0.8279438765581834,0.025909008590884505,0.11920991788925234
C2010,ND_lo,m,12,True,406,0.8240631482689679,0.6480229836500496,1.0479259061306458,0.11452508204632655,-0.1935081157603252,0.12261500762177198
C2010,ND_mid,m,12,True,411,0.8642715076301631,0.6927977363262994,1.0781866044514665,0.1960874707780704,-0.14586831460036337,0.11283313178746003
C2011,17aE2,m,6,True,397,0.8225495478897948,0.6530919450907607,1.0359762722838053,0.09697944361997085,-0.1953465575615066,0.11770154949540658
